internals,assignments,viva,lab_marks,mid_exam,attendance,study_hours,backlogs,sleep_hours,stress_level,previous_cgpa,branch,year,final_score,grade
14,7,2,13,13,79,0.5,0,3.9,3,6.05,CSE,2,44.68,FAIL
16,9,5,15,11,69,5.3,0,6.5,5,5.06,CSE,3,50.23,D
19,7,5,13,16,64,2.7,2,4.8,6,4.95,MECH,3,46.23,FAIL
8,12,2,7,17,84,1.8,1,4.9,1,5.76,ECE,2,42.47,FAIL
12,8,3,15,16,90,1.8,2,7.9,6,5.75,MECH,1,45.49,FAIL
16,10,3,16,12,88,4.9,2,8.3,3,5.6,ECE,3,48.08,FAIL
17,8,2,13,17,62,3.6,1,8.2,5,5.98,MECH,1,48.04,FAIL
12,7,4,8,8,70,0.6,2,8.7,4,4.92,CSE,3,35.5,FAIL
18,10,4,19,14,79,5.0,1,8.9,4,5.92,CSE,3,54.15,D
8,11,4,12,13,89,1.1,1,3.8,8,4.51,ECE,1,46.16,FAIL
12,10,3,12,6,67,4.3,0,7.7,6,4.99,ECE,2,40.81,FAIL
17,8,4,13,14,72,4.5,1,6.2,7,5.06,ECE,4,43.68,FAIL
9,6,5,7,9,58,5.8,0,5.9,5,4.38,MECH,4,35.9,FAIL
3,6,2,18,11,57,7.6,1,7.8,6,4.29,MECH,1,35.69,FAIL
10,8,3,16,9,87,1.3,2,4.4,6,4.64,ECE,3,41.31,FAIL
15,6,5,12,17,95,3.9,2,4.4,6,4.79,ECE,2,49.71,FAIL
13,8,4,7,12,73,3.4,0,8.0,7,5.28,ECE,1,40.61,FAIL
12,11,5,17,16,90,4.9,0,7.7,5,5.9,ECE,4,55.76,D
11,7,4,16,18,80,4.4,0,7.2,10,4.89,CSE,1,46.49,FAIL
9,8,2,13,16,65,3.3,0,5.7,7,5.33,ECE,1,42.95,FAIL
10,10,6,13,14,80,3.1,1,8.1,3,5.51,CSE,4,45.54,FAIL
11,5,4,8,11,98,1.8,1,8.0,5,4.76,ECE,4,42.37,FAIL
14,10,7,16,12,74,6.0,1,7.1,6,5.24,CSE,2,50.18,D
9,10,6,11,18,98,4.9,0,5.2,5,6.19,ECE,4,56.02,D
13,10,5,10,6,35,5.8,2,6.4,6,3.54,MECH,1,27.7,FAIL
14,9,6,16,8,87,3.4,0,8.3,7,5.25,MECH,3,49.87,FAIL
11,7,6,13,12,76,2.7,0,9.0,2,5.85,ECE,1,45.0,FAIL
10,5,4,12,14,70,1.8,1,6.5,8,5.82,MECH,2,38.98,FAIL
13,10,7,7,13,76,4.7,0,6.6,4,5.98,CSE,2,46.63,FAIL
10,9,2,7,13,45,1.9,3,6.8,4,4.49,MECH,4,27.39,FAIL
16,9,5,14,14,71,7.7,2,7.4,4,6.0,CSE,1,47.76,FAIL
10,7,4,6,10,80,1.4,1,6.1,7,3.74,MECH,4,35.58,FAIL
12,11,9,18,12,97,4.5,0,2.7,4,4.85,ECE,4,60.24,C
15,11,6,13,15,67,7.1,0,8.8,4,6.04,CSE,2,48.6,FAIL
7,9,3,12,10,62,5.2,0,9.7,4,5.56,MECH,1,39.76,FAIL
10,8,5,19,17,67,4.4,0,6.1,1,5.55,MECH,4,54.92,D
12,8,2,17,16,88,2.1,1,5.4,3,5.29,CSE,3,48.76,FAIL
8,6,6,18,8,79,1.2,1,6.8,3,5.13,ECE,4,41.31,FAIL
13,7,0,17,17,67,5.5,3,6.7,4,5.36,ECE,3,41.44,FAIL
11,12,4,17,19,82,7.0,4,8.5,6,5.25,ECE,4,48.63,FAIL
18,9,7,10,14,76,3.1,2,7.1,6,4.91,ECE,2,46.64,FAIL
7,8,5,7,15,89,1.7,3,5.8,8,4.16,CSE,1,35.57,FAIL
14,4,3,11,9,64,0.0,1,5.0,7,3.78,MECH,3,37.62,FAIL
7,11,2,11,15,70,2.0,2,8.3,4,5.68,MECH,4,37.79,FAIL
19,8,6,6,14,69,3.8,0,7.9,5,5.05,MECH,4,47.21,FAIL
16,9,3,15,11,53,7.2,3,8.6,5,5.62,MECH,1,40.03,FAIL
17,12,3,16,18,79,5.3,2,5.5,1,5.77,CSE,3,53.42,D
10,8,6,11,16,78,4.6,1,9.8,3,5.64,ECE,3,48.83,FAIL
11,6,2,16,9,75,3.2,3,4.4,5,4.34,MECH,3,33.95,FAIL
11,10,2,10,7,71,2.8,0,8.1,5,4.89,CSE,1,38.51,FAIL
12,10,2,19,13,53,6.8,1,4.1,6,4.83,CSE,4,43.35,FAIL
17,9,4,17,13,68,4.4,3,5.8,6,5.2,ECE,1,45.26,FAIL
14,3,3,15,8,69,0.0,1,9.3,1,5.29,MECH,3,37.71,FAIL
11,10,6,10,16,62,2.7,2,8.2,6,5.14,MECH,1,38.3,FAIL
14,6,3,11,12,72,2.3,1,6.2,5,4.1,ECE,3,38.89,FAIL
17,8,2,14,15,81,2.9,1,6.2,6,5.44,CSE,3,49.52,FAIL
13,9,2,14,16,100,5.1,2,7.2,7,5.09,CSE,2,45.69,FAIL
12,7,6,14,11,77,3.8,3,7.8,5,5.79,ECE,4,41.14,FAIL
20,12,5,19,11,78,3.8,0,8.9,7,5.5,MECH,3,55.32,D
13,9,5,11,17,73,6.6,1,6.3,3,4.7,CSE,1,45.4,FAIL
8,8,2,12,11,46,2.6,1,4.6,3,4.78,CSE,2,32.3,FAIL
16,9,5,14,13,74,7.7,1,7.2,6,6.08,ECE,3,47.59,FAIL
17,11,6,9,13,75,2.7,1,6.3,4,5.71,MECH,3,46.89,FAIL
17,12,5,18,16,100,4.2,2,5.0,6,5.04,CSE,4,60.2,C
12,6,2,14,11,72,3.4,2,7.4,9,4.81,ECE,4,35.65,FAIL
16,7,5,17,15,79,4.2,1,6.7,6,5.54,CSE,2,49.88,FAIL
15,8,4,11,17,74,4.9,0,7.5,5,5.71,MECH,1,51.62,D
12,10,5,11,18,57,4.9,0,5.7,3,5.23,MECH,2,45.67,FAIL
13,10,4,15,9,92,2.5,1,7.7,2,5.51,CSE,4,47.85,FAIL
14,9,5,16,16,86,1.8,3,5.0,5,5.44,CSE,4,51.4,D
16,12,6,21,19,86,9.0,1,5.8,7,6.24,CSE,2,62.44,C
12,11,5,11,12,61,3.0,2,6.6,4,4.79,ECE,2,37.72,FAIL
15,7,6,17,13,96,5.4,2,9.6,6,5.57,MECH,3,51.36,D
4,5,1,14,10,53,0.8,1,8.2,8,3.83,CSE,2,27.42,FAIL
13,3,2,13,13,83,3.4,0,8.6,8,5.85,CSE,1,40.56,FAIL
16,12,5,17,18,100,3.7,1,9.1,6,6.26,MECH,4,62.88,C
19,11,5,13,15,60,4.9,5,12.4,5,5.55,CSE,2,42.27,FAIL
10,6,2,11,14,66,0.0,3,7.1,2,4.74,CSE,4,35.58,FAIL
14,10,5,17,15,76,4.3,2,9.1,4,4.7,ECE,3,52.78,D
18,5,4,10,6,67,1.7,1,8.5,4,4.97,MECH,1,39.69,FAIL
6,8,3,9,11,51,4.6,2,8.5,3,4.57,ECE,1,29.07,FAIL
8,13,3,15,17,76,1.9,1,9.7,5,5.31,ECE,3,48.2,FAIL
9,6,2,16,7,59,2.3,2,6.4,9,4.8,ECE,2,29.59,FAIL
11,9,7,8,12,82,3.5,1,6.3,8,4.41,MECH,2,44.29,FAIL
10,6,0,10,12,61,1.9,0,7.5,5,4.83,ECE,2,37.8,FAIL
14,10,3,16,8,98,3.0,0,6.7,7,5.82,ECE,2,52.43,D
8,10,7,11,12,63,1.6,2,7.5,4,4.92,ECE,4,35.61,FAIL
13,8,2,11,8,70,0.3,2,9.3,8,4.32,MECH,3,36.41,FAIL
15,10,4,16,16,87,6.0,0,6.3,2,5.93,ECE,1,54.77,D
14,7,4,8,11,56,1.4,3,6.5,7,4.74,ECE,2,31.13,FAIL
10,6,5,6,13,78,3.6,2,7.3,6,5.28,MECH,2,32.71,FAIL
22,13,6,16,16,94,5.5,2,6.7,3,5.94,MECH,2,61.25,C
6,9,6,10,8,50,2.8,2,4.1,5,4.85,CSE,3,26.69,FAIL
13,6,3,9,13,77,2.3,1,6.1,3,5.42,MECH,3,43.06,FAIL
10,9,4,11,12,78,4.5,3,8.0,3,5.04,MECH,4,39.44,FAIL
17,9,5,20,18,86,6.2,0,9.2,2,6.55,ECE,1,59.58,D
8,6,2,10,11,56,1.7,1,5.3,7,4.64,CSE,3,29.8,FAIL
3,8,3,10,7,55,3.7,2,5.3,7,3.77,ECE,4,26.17,FAIL
9,9,4,8,9,82,0.5,1,7.0,1,4.19,CSE,3,40.5,FAIL
16,9,4,13,9,79,3.2,4,3.9,9,3.96,CSE,4,37.79,FAIL
11,8,6,20,13,78,4.1,1,6.3,5,5.17,MECH,4,49.53,FAIL
15,9,4,15,13,80,2.3,0,4.4,6,5.23,ECE,4,50.18,D
12,6,2,13,12,64,3.1,4,9.1,2,4.94,MECH,2,36.17,FAIL
10,9,2,13,12,78,1.2,1,5.8,8,4.78,ECE,4,40.86,FAIL
18,8,3,10,10,79,4.2,2,9.5,5,4.11,ECE,3,44.41,FAIL
13,8,2,16,11,64,6.1,1,8.7,7,5.31,ECE,4,42.37,FAIL
14,7,3,13,9,100,1.8,3,6.0,7,4.93,CSE,2,42.81,FAIL
14,11,3,19,13,82,2.8,1,5.4,8,5.77,MECH,3,52.26,D
16,7,2,16,9,57,5.0,0,6.7,4,4.09,ECE,2,44.94,FAIL
11,9,8,14,22,84,6.4,1,6.8,5,5.68,ECE,4,52.56,D
16,5,3,11,15,60,1.0,4,7.5,4,3.74,MECH,3,33.61,FAIL
18,6,6,12,15,86,3.7,1,5.8,7,4.8,CSE,2,49.05,FAIL
15,9,5,17,11,92,4.6,1,8.1,6,4.78,CSE,4,51.05,D
15,9,3,11,13,62,3.8,2,7.4,7,5.92,MECH,2,36.23,FAIL
11,5,3,12,13,89,0.0,2,6.5,7,4.56,MECH,3,38.94,FAIL
15,7,2,16,8,81,5.0,1,5.9,2,5.54,CSE,3,45.42,FAIL
17,7,4,18,16,87,7.0,2,6.7,8,5.48,CSE,4,53.13,D
12,12,2,11,10,100,4.2,0,5.8,7,4.84,ECE,1,46.81,FAIL
17,10,5,14,12,71,1.9,1,7.1,4,5.5,CSE,2,50.4,D
13,10,3,13,9,63,3.0,1,7.1,6,5.08,CSE,4,41.94,FAIL
15,13,4,11,15,61,7.5,1,7.4,5,5.87,CSE,2,45.07,FAIL
10,9,3,16,11,62,5.8,1,9.6,6,4.74,ECE,4,40.28,FAIL
18,10,6,20,16,73,5.3,1,6.8,4,5.98,CSE,2,58.25,D
15,10,3,15,17,80,4.7,0,8.5,6,5.95,MECH,1,53.31,D
11,7,3,12,14,79,2.7,2,7.3,5,5.04,ECE,1,39.28,FAIL
12,8,5,14,21,87,3.6,2,6.6,4,5.91,CSE,1,51.09,D
13,8,6,21,12,75,3.8,1,6.8,5,5.3,MECH,3,47.59,FAIL
10,9,5,17,18,96,5.1,1,6.9,10,4.47,ECE,4,53.89,D
16,6,8,13,12,71,7.0,1,7.4,4,5.55,ECE,2,46.81,FAIL
19,8,4,11,11,100,6.2,3,5.6,5,5.59,CSE,3,47.05,FAIL
11,6,1,11,14,84,1.2,2,4.8,4,4.96,ECE,1,42.17,FAIL
14,6,5,12,18,62,4.4,2,8.0,4,5.71,MECH,3,44.88,FAIL
15,9,3,12,9,58,5.5,1,8.3,7,4.18,CSE,2,37.73,FAIL
14,9,5,14,16,82,5.2,0,8.1,6,5.29,ECE,1,50.18,D
11,7,5,15,9,71,2.7,0,7.2,5,4.59,CSE,1,43.55,FAIL
17,12,3,9,20,85,9.8,1,8.2,7,5.67,CSE,1,53.7,D
10,9,3,13,15,82,1.4,2,8.1,7,4.52,ECE,3,41.99,FAIL
11,9,5,15,13,73,1.8,2,8.2,5,5.06,MECH,1,42.52,FAIL
11,12,4,8,10,62,4.5,2,5.7,2,5.44,CSE,2,39.18,FAIL
15,9,4,11,15,52,8.2,3,5.4,7,5.08,CSE,4,33.96,FAIL
12,8,5,10,7,68,2.3,0,6.4,5,4.89,ECE,3,36.54,FAIL
16,8,6,16,15,87,3.5,2,7.0,5,5.7,ECE,1,52.59,D
20,7,2,15,14,78,6.2,1,6.6,4,6.79,CSE,1,47.82,FAIL
8,7,6,11,11,56,4.0,1,4.2,6,4.51,CSE,4,35.72,FAIL
12,11,3,12,14,77,3.3,2,9.6,6,5.84,ECE,2,40.92,FAIL
17,8,6,15,16,80,5.1,1,6.6,5,5.9,CSE,4,54.41,D
13,8,4,12,9,61,4.5,1,7.3,3,6.12,ECE,4,38.24,FAIL
15,12,7,12,12,77,6.1,0,8.9,7,5.77,MECH,2,49.64,FAIL
14,9,5,14,19,75,6.6,1,3.5,6,4.67,ECE,2,48.15,FAIL
9,6,5,15,15,57,4.6,1,6.2,6,4.91,MECH,3,37.04,FAIL
16,8,5,16,16,80,4.6,0,6.4,1,5.85,MECH,3,56.61,D
16,11,4,14,10,83,4.4,2,6.5,5,5.78,ECE,4,45.21,FAIL
12,9,3,18,16,91,5.0,2,6.7,5,5.18,ECE,2,47.67,FAIL
16,10,3,15,17,90,4.1,1,9.2,4,6.48,MECH,2,53.44,D
11,5,2,11,10,54,4.0,1,8.0,7,4.69,MECH,4,34.15,FAIL
16,10,6,18,11,60,6.4,2,8.4,6,5.68,MECH,4,42.77,FAIL
19,12,3,15,14,82,7.0,1,7.1,6,5.8,MECH,4,55.56,D
12,7,5,10,15,82,1.0,1,4.9,7,4.63,ECE,2,45.93,FAIL
9,10,3,16,16,82,4.0,2,3.9,3,5.36,CSE,2,45.83,FAIL
17,9,4,12,18,100,2.6,0,4.7,4,5.73,CSE,2,58.39,D
22,11,5,19,17,83,3.4,1,7.5,5,6.33,MECH,3,59.28,D
16,10,6,8,11,92,4.8,1,7.0,4,4.74,MECH,3,49.25,FAIL
15,9,4,16,11,89,5.3,1,6.7,6,5.79,CSE,4,52.21,D
15,5,5,12,14,84,3.8,2,6.4,4,5.43,MECH,4,43.86,FAIL
13,5,4,12,13,70,0.2,5,10.0,8,4.54,MECH,4,31.5,FAIL
12,8,3,16,15,86,2.1,3,5.8,3,4.08,ECE,2,44.53,FAIL
17,10,3,10,10,63,5.8,0,8.4,9,5.22,CSE,1,41.15,FAIL
7,5,4,6,11,71,0.0,1,7.0,9,4.17,MECH,2,29.33,FAIL
12,11,4,17,11,67,6.4,1,6.9,5,4.92,CSE,4,46.88,FAIL
15,12,4,13,13,76,5.0,2,8.8,7,5.35,ECE,4,47.53,FAIL
19,13,6,17,13,100,6.6,1,9.2,4,6.2,MECH,3,63.48,C
7,3,3,8,11,46,3.6,4,6.6,7,3.48,MECH,1,17.43,FAIL
11,9,1,11,14,85,0.0,0,8.2,5,5.07,CSE,2,43.65,FAIL
11,7,3,10,9,50,4.9,1,7.5,2,5.47,MECH,1,36.59,FAIL
12,8,3,14,13,67,6.5,0,7.0,1,5.5,MECH,1,48.39,FAIL
18,12,4,14,12,91,5.8,2,7.3,4,6.02,ECE,1,52.18,D
12,9,3,15,7,75,2.7,1,6.0,6,4.9,CSE,1,43.58,FAIL
16,9,5,11,8,58,4.2,0,6.5,8,5.08,ECE,1,38.12,FAIL
8,9,4,15,12,64,2.9,2,6.1,5,4.71,CSE,4,41.22,FAIL
13,9,3,16,12,85,2.4,1,8.4,7,5.53,CSE,2,45.35,FAIL
15,6,4,10,13,64,5.9,1,6.9,4,5.15,MECH,3,43.38,FAIL
15,13,5,10,12,78,1.6,0,5.1,4,5.85,CSE,4,50.06,D
8,7,3,11,14,75,2.2,4,5.9,7,4.46,MECH,1,31.98,FAIL
14,5,1,8,9,65,1.8,4,2.2,1,4.31,MECH,1,26.84,FAIL
14,7,3,11,17,100,1.0,0,6.3,5,5.2,MECH,3,54.57,D
20,9,2,16,12,84,4.3,1,7.1,4,5.17,MECH,3,54.22,D
10,7,6,11,12,44,6.3,2,6.8,8,3.94,MECH,2,31.9,FAIL
18,9,2,18,14,77,3.6,2,10.0,4,5.97,ECE,4,48.72,FAIL
7,8,1,5,5,65,1.0,2,7.9,6,3.08,CSE,2,23.79,FAIL
14,11,5,9,19,87,5.7,2,7.8,7,5.19,MECH,2,48.99,FAIL
15,7,1,11,18,63,7.4,2,4.5,2,4.77,CSE,3,41.83,FAIL
7,12,2,16,12,73,2.7,3,6.5,5,5.02,ECE,1,36.69,FAIL
6,5,4,10,11,82,3.0,2,6.3,4,4.16,ECE,4,31.62,FAIL
13,10,5,20,18,87,5.0,0,5.8,7,5.54,MECH,4,56.74,D
10,7,5,12,14,56,7.2,2,5.8,6,5.35,MECH,3,37.18,FAIL
4,8,4,12,13,69,3.0,0,4.3,5,3.88,MECH,4,40.48,FAIL
14,9,3,11,12,67,1.3,1,5.1,3,4.83,CSE,3,43.35,FAIL
11,8,3,8,14,65,5.3,1,8.3,7,5.35,CSE,2,37.1,FAIL
16,13,6,15,15,100,5.6,2,6.8,5,6.35,CSE,4,58.91,D
14,9,6,15,11,81,4.0,0,6.2,2,4.81,MECH,2,51.65,D
12,10,4,10,13,56,2.9,3,7.0,2,4.18,CSE,4,36.49,FAIL
18,13,4,16,21,88,6.0,1,8.8,6,6.55,MECH,1,61.63,C
17,10,6,15,16,100,5.1,0,7.0,2,5.72,MECH,2,60.9,C
14,11,5,13,17,90,2.5,0,7.8,9,4.73,MECH,2,52.75,D
10,6,2,4,10,52,4.1,0,5.7,3,5.15,MECH,4,32.79,FAIL
8,8,3,8,12,67,1.3,3,6.1,5,4.04,ECE,4,28.22,FAIL
9,11,6,13,15,94,5.4,0,7.5,5,5.67,CSE,3,52.92,D
15,8,6,15,13,64,3.5,0,9.8,4,5.75,MECH,2,49.41,FAIL
11,5,3,16,13,81,3.1,0,9.1,1,5.13,MECH,2,49.28,FAIL
20,12,2,15,13,86,3.9,1,7.9,5,5.26,ECE,3,54.74,D
14,8,4,12,4,61,4.1,1,7.2,3,4.59,MECH,1,35.34,FAIL
17,9,4,8,10,74,5.8,1,9.1,5,5.23,ECE,1,41.94,FAIL
13,7,4,8,5,26,5.2,3,8.2,5,5.09,MECH,2,20.84,FAIL
14,10,4,11,11,59,3.7,3,3.6,6,5.11,ECE,2,37.99,FAIL
15,13,4,13,10,71,5.5,1,5.4,8,4.99,CSE,4,43.11,FAIL
14,10,3,13,7,56,4.8,1,7.5,4,5.34,ECE,1,37.71,FAIL
16,11,6,9,12,99,3.1,1,4.3,4,5.67,ECE,1,50.3,D
9,8,2,14,10,53,3.8,2,5.7,2,4.57,ECE,3,34.42,FAIL
9,9,4,9,21,68,3.7,1,6.0,5,5.05,ECE,4,41.61,FAIL
14,6,5,6,12,76,5.0,2,6.6,6,4.58,ECE,1,35.96,FAIL
18,10,4,17,13,96,3.3,1,6.6,4,5.12,MECH,1,58.79,D
10,4,4,8,6,53,3.2,2,6.6,6,4.48,ECE,4,26.86,FAIL
17,12,4,19,13,92,7.9,1,8.2,5,5.63,ECE,1,59.82,D
10,8,8,9,16,75,5.9,3,6.6,2,5.06,ECE,2,40.99,FAIL
9,8,3,9,15,60,2.5,0,6.4,6,4.2,MECH,1,40.86,FAIL
11,11,7,12,12,81,5.1,3,5.0,5,5.85,ECE,4,42.71,FAIL
12,9,6,16,16,77,4.2,2,8.5,5,6.22,MECH,2,49.0,FAIL
13,6,6,10,21,65,4.8,2,6.0,4,5.1,ECE,1,43.75,FAIL
14,12,4,15,20,76,4.3,0,5.4,4,5.48,MECH,4,54.37,D
16,9,6,12,14,69,6.4,1,7.3,5,5.13,MECH,1,46.14,FAIL
14,11,6,10,9,76,4.7,4,5.8,5,4.17,ECE,1,40.52,FAIL
10,6,4,16,10,84,3.9,4,6.2,8,4.56,MECH,1,34.77,FAIL
10,10,4,22,10,98,6.1,0,7.4,7,5.62,ECE,1,52.38,D
9,3,6,11,12,56,4.5,1,6.5,6,4.81,CSE,3,36.44,FAIL
14,12,5,14,21,100,4.2,0,10.5,5,6.03,ECE,1,60.66,C
13,9,4,11,9,45,4.6,1,6.9,1,4.94,MECH,2,38.59,FAIL
15,7,4,13,12,72,3.8,0,7.9,3,5.14,ECE,2,49.35,FAIL
14,8,3,9,14,83,4.0,0,4.1,4,5.36,CSE,3,47.33,FAIL
14,7,4,9,12,79,2.8,2,5.7,4,4.43,ECE,2,38.24,FAIL
20,7,4,7,9,65,2.5,1,5.4,5,5.06,ECE,4,42.58,FAIL
11,6,3,8,11,71,2.0,5,5.6,6,4.35,ECE,3,24.24,FAIL
12,10,4,17,13,67,1.2,1,7.6,6,5.7,MECH,1,45.18,FAIL
9,6,3,4,13,66,2.2,1,8.6,7,4.6,CSE,4,33.19,FAIL
15,5,4,15,15,87,3.7,3,7.5,4,5.32,MECH,1,42.93,FAIL
17,8,5,12,11,80,4.2,2,6.7,6,4.92,ECE,4,46.03,FAIL
10,6,4,12,11,64,3.5,0,6.1,6,4.49,CSE,4,37.92,FAIL
12,6,5,9,14,88,0.0,1,8.7,5,5.44,MECH,4,44.74,FAIL
14,11,4,14,19,79,7.1,1,10.1,8,5.68,CSE,1,53.94,D
13,7,7,20,18,87,6.2,2,7.2,7,6.03,CSE,3,55.9,D
16,11,6,14,13,84,4.9,2,8.4,2,6.17,CSE,3,49.26,FAIL
15,9,4,19,15,62,7.8,1,7.5,5,5.5,CSE,3,51.01,D
12,7,3,4,13,66,2.0,1,8.1,5,5.09,CSE,3,35.53,FAIL
22,9,6,18,18,86,7.8,1,5.3,9,5.92,MECH,4,59.72,D
15,6,2,14,15,84,2.1,1,6.3,4,5.5,CSE,1,46.94,FAIL
11,11,4,10,16,74,4.5,0,7.6,3,5.65,MECH,3,48.61,FAIL
14,8,4,15,8,76,1.5,3,8.8,6,5.21,MECH,3,38.69,FAIL
13,6,4,12,11,94,4.0,2,5.8,6,4.79,MECH,4,44.29,FAIL
13,9,3,15,18,66,4.8,1,4.0,5,6.1,ECE,1,48.52,FAIL
14,9,5,11,11,83,3.7,1,6.3,5,5.51,MECH,2,47.45,FAIL
13,12,3,13,15,71,5.4,0,8.5,7,5.58,ECE,2,46.32,FAIL
14,8,4,15,11,71,4.2,1,4.6,3,5.11,CSE,4,46.57,FAIL
19,10,3,19,15,91,3.0,2,5.2,4,4.17,MECH,1,55.86,D
13,9,4,11,17,87,2.9,1,7.2,4,5.3,CSE,3,51.95,D
15,8,3,19,12,87,5.6,1,6.8,7,5.47,ECE,3,48.69,FAIL
14,10,5,18,16,94,2.7,1,7.9,6,5.01,MECH,4,53.79,D
12,11,4,16,16,75,5.8,2,5.2,3,5.04,CSE,2,51.42,D
14,12,4,18,17,85,6.4,2,6.5,3,5.69,ECE,3,57.25,D
14,8,3,9,11,70,0.7,2,8.8,9,4.85,CSE,1,32.62,FAIL
14,12,7,12,10,79,6.3,0,5.2,7,5.83,ECE,4,51.73,D
13,11,5,14,19,73,8.1,1,9.2,7,5.78,MECH,3,50.94,D
18,9,6,14,11,76,4.5,2,5.4,5,4.85,CSE,4,50.17,D
11,6,2,13,14,83,5.2,1,8.3,8,5.17,ECE,2,41.06,FAIL
16,9,4,11,15,62,6.1,2,6.4,3,5.41,CSE,4,46.04,FAIL
14,13,3,13,12,100,3.4,3,5.3,7,5.37,MECH,4,49.25,FAIL
9,5,3,12,9,59,4.4,0,6.3,4,5.19,MECH,2,32.7,FAIL
9,4,2,13,7,56,1.4,1,7.8,5,4.37,CSE,1,28.42,FAIL
15,9,7,12,12,92,4.3,1,7.0,6,5.75,ECE,2,48.09,FAIL
11,7,6,17,12,86,5.0,1,8.7,5,5.95,ECE,1,47.64,FAIL
